"","subject","item","category","RT","Pos","experiment"
"1","201","arztkittel","Jacken",1436,1,"typing"
"2","201","gurke","Gemüse",903,1,"typing"
"3","201","axt","Bauernhof",1271,1,"typing"
"4","201","kapuzenpulli","Jacken",1872,2,"typing"
"5","201","kartoffel","Gemüse",1263,2,"typing"
"6","201","sakko","Jacken",2205,3,"typing"
"7","201","säge","Bauernhof",1338,2,"typing"
"8","201","daunenweste","Jacken",1751,4,"typing"
"9","201","sense","Bauernhof",1241,3,"typing"
"10","201","brokkoli","Gemüse",927,3,"typing"
"11","201","pelzmantel","Jacken",2347,5,"typing"
"12","201","besen","Bauernhof",963,4,"typing"
"13","201","karotte","Gemüse",950,4,"typing"
"14","201","schaufel","Bauernhof",799,5,"typing"
"15","201","paprika","Gemüse",1044,5,"typing"
"16","201","schublade","Aufbewahrung",772,1,"typing"
"17","201","hai","Fische",1035,1,"typing"
"18","201","bus","Strasse",951,1,"typing"
"19","201","aal","Fische",799,2,"typing"
"20","201","delfin","Fische",1181,3,"typing"
"21","201","motorrad","Strasse",1054,3,"typing"
"22","201","regal","Aufbewahrung",1046,3,"typing"
"23","201","lkw","Strasse",2443,4,"typing"
"24","201","schachtel","Aufbewahrung",1607,4,"typing"
"25","201","auto","Strasse",1583,5,"typing"
"26","201","goldfisch","Fische",1083,4,"typing"
"27","201","safe","Aufbewahrung",983,5,"typing"
"28","201","rochen","Fische",1207,5,"typing"
"29","201","bonbon","Süssigkeiten",868,1,"typing"
"30","201","hand","Körperteile",864,1,"typing"
"31","201","kuchen","Süssigkeiten",1579,2,"typing"
"32","201","feile","Heimwerker",964,1,"typing"
"33","201","ohr","Körperteile",935,2,"typing"
"34","201","kekse","Süssigkeiten",1033,3,"typing"
"35","201","schraubenzieher","Heimwerker",1155,2,"typing"
"36","201","fuss","Körperteile",1293,3,"typing"
"37","201","zange","Heimwerker",967,3,"typing"
"38","201","schokolade","Süssigkeiten",824,4,"typing"
"39","201","bohrmaschine","Heimwerker",2795,4,"typing"
"40","201","arm","Körperteile",814,4,"typing"
"41","201","eis","Süssigkeiten",1041,5,"typing"
"42","201","bein","Körperteile",1825,5,"typing"
"43","201","hammer","Heimwerker",1380,5,"typing"
"44","201","ameise","Insekten",869,1,"typing"
"45","201","birne","Obst",901,1,"typing"
"46","201","fliege","Insekten",1429,2,"typing"
"47","201","kirsche","Obst",1182,2,"typing"
"48","201","tasse","Trinkgefässe",1375,1,"typing"
"49","201","biene","Insekten",1375,3,"typing"
"50","201","trauben","Obst",1256,3,"typing"
"51","201","marienkäfer","Insekten",1209,4,"typing"
"52","201","kanne","Trinkgefässe",1296,2,"typing"
"53","201","spinne","Insekten",1143,5,"typing"
"54","201","becher","Trinkgefässe",1295,3,"typing"
"55","201","apfel","Obst",983,4,"typing"
"56","201","flasche","Trinkgefässe",1337,4,"typing"
"57","201","banane","Obst",928,5,"typing"
"58","201","glas","Trinkgefässe",1259,5,"typing"
"59","201","klammer","Büro",1178,1,"typing"
"60","201","kaffeemaschine","Küche",1555,1,"typing"
"61","201","segelschiff","Wasser",931,1,"typing"
"62","201","mikrowelle","Küche",976,2,"typing"
"63","201","radiergummi","Büro",1024,2,"typing"
"64","201","yacht","Wasser",1311,2,"typing"
"65","201","kanu","Wasser",1175,3,"typing"
"66","201","u-boot","Wasser",1395,4,"typing"
"67","201","schere","Büro",1048,3,"typing"
"68","201","herd","Küche",1332,4,"typing"
"69","201","gondel","Wasser",2482,5,"typing"
"70","201","bleistift","Büro",876,4,"typing"
"71","201","kühlschrank","Küche",1771,5,"typing"
"72","201","lineal","Büro",955,5,"typing"
"73","201","gitarre","Instrumente",1217,1,"typing"
"74","201","kamel","Huftiere",916,1,"typing"
"75","201","sonnenblume","Blumen",1330,1,"typing"
"76","201","harfe","Instrumente",966,2,"typing"
"77","201","reh","Huftiere",1527,2,"typing"
"78","201","löwenzahn","Blumen",1772,2,"typing"
"79","201","geige","Instrumente",1491,3,"typing"
"80","201","schaf","Huftiere",1007,3,"typing"
"81","201","kuh","Huftiere",994,4,"typing"
"82","201","tulpe","Blumen",1255,3,"typing"
"83","201","schlagzeug","Instrumente",1290,4,"typing"
"84","201","rose","Blumen",1395,4,"typing"
"85","201","pferd","Huftiere",1072,5,"typing"
"86","201","klavier","Instrumente",1198,5,"typing"
"87","201","orchidee","Blumen",2456,5,"typing"
"88","201","leopard","Raubtiere",912,1,"typing"
"89","201","kette","Schmuck",1276,1,"typing"
"90","201","schneebesen","Kochen",1405,1,"typing"
"91","201","tiger","Raubtiere",1536,2,"typing"
"92","201","ring","Schmuck",884,2,"typing"
"93","201","brosche","Schmuck",1388,3,"typing"
"94","201","messer","Kochen",1293,2,"typing"
"95","201","bär","Raubtiere",1083,3,"typing"
"96","201","gabel","Kochen",1614,3,"typing"
"97","201","ohrring","Schmuck",1610,4,"typing"
"98","201","kelle","Kochen",1580,4,"typing"
"99","201","löwe","Raubtiere",921,4,"typing"
"100","201","löffel","Kochen",1695,5,"typing"
"101","201","armband","Schmuck",2805,5,"typing"
"102","201","panther","Raubtiere",2422,5,"typing"
"103","201","strauss","Vögel",1161,1,"typing"
"104","201","hochhaus","Gebäude",1338,1,"typing"
"105","201","sessel","Sitzen",1624,1,"typing"
"106","201","eule","Vögel",1840,2,"typing"
"107","201","kirche","Gebäude",1170,2,"typing"
"108","201","stuhl","Sitzen",775,2,"typing"
"109","201","burg","Gebäude",1180,3,"typing"
"110","201","couch","Sitzen",1169,3,"typing"
"111","201","schloss","Gebäude",1769,4,"typing"
"112","201","ente","Vögel",1125,4,"typing"
"113","201","hocker","Sitzen",1301,4,"typing"
"114","201","tempel","Gebäude",1448,5,"typing"
"115","201","taube","Vögel",1603,5,"typing"
"116","201","bank","Sitzen",1181,5,"typing"
"117","202","pelzmantel","Jacken",1080,1,"typing"
"118","202","paprika","Gemüse",915,1,"typing"
"119","202","schaufel","Bauernhof",783,1,"typing"
"120","202","sakko","Jacken",1870,2,"typing"
"121","202","kartoffel","Gemüse",938,2,"typing"
"122","202","besen","Bauernhof",857,2,"typing"
"123","202","kapuzenpulli","Jacken",1227,3,"typing"
"124","202","säge","Bauernhof",881,3,"typing"
"125","202","karotte","Gemüse",772,3,"typing"
"126","202","daunenweste","Jacken",963,4,"typing"
"127","202","brokkoli","Gemüse",915,4,"typing"
"128","202","sense","Bauernhof",752,5,"typing"
"129","202","arztkittel","Jacken",1846,5,"typing"
"130","202","gurke","Gemüse",967,5,"typing"
"131","202","geige","Instrumente",1095,1,"typing"
"132","202","orchidee","Blumen",1606,1,"typing"
"133","202","kuh","Huftiere",746,1,"typing"
"134","202","gitarre","Instrumente",1103,2,"typing"
"135","202","löwenzahn","Blumen",1013,2,"typing"
"136","202","pferd","Huftiere",1126,2,"typing"
"137","202","harfe","Instrumente",991,3,"typing"
"138","202","tulpe","Blumen",941,3,"typing"
"139","202","kamel","Huftiere",818,3,"typing"
"140","202","sonnenblume","Blumen",1345,4,"typing"
"141","202","klavier","Instrumente",650,4,"typing"
"142","202","schaf","Huftiere",951,4,"typing"
"143","202","schlagzeug","Instrumente",902,5,"typing"
"144","202","rose","Blumen",1070,5,"typing"
"145","202","reh","Huftiere",1029,5,"typing"
"146","202","kette","Schmuck",1309,1,"typing"
"147","202","messer","Kochen",840,1,"typing"
"148","202","leopard","Raubtiere",1724,1,"typing"
