"","subject","session","trial","age","SD30","SD32","SD31","timetotal","array","item","category","supercategory","VOT","correct","AR","error"
"1",1,1,1,50,"NA","NA","NA",24.7333333333333,1,"schachtel","Aufbewahrung","Möbel","615","1","NA","NA"
"2",1,1,2,50,"NA","NA","NA",24.7333333333333,1,"steckdose","Filler","Filler","673","1","NA","NA"
"3",1,1,3,50,"NA","NA","NA",24.7333333333333,1,"delfin","Fische","Tiere","565","1","NA","NA"
"4",1,1,4,50,"NA","NA","NA",24.7333333333333,1,"bus","Strasse","Fortbewegungsmittel","1603","1","NA","NA"
"5",1,1,5,50,"NA","NA","NA",24.7333333333333,1,"safe","Aufbewahrung","Möbel","822","1.2","Treseor","NA"
"6",1,1,6,50,"NA","NA","NA",24.7333333333333,1,"kassette","Filler","Filler","477","1","NA","NA"
"7",1,1,7,50,"NA","NA","NA",24.7333333333333,1,"goldfisch","Fische","Tiere","921","1","NA","NA"
"8",1,1,8,50,"NA","NA","NA",24.7333333333333,1,"waage","Filler","Filler","502","1","NA","NA"
"9",1,1,9,50,"NA","NA","NA",24.7333333333333,1,"fernglas","Filler","Filler","0","0","NR","4"
"10",1,1,10,50,"NA","NA","NA",24.7333333333333,1,"kutsche","Strasse","Fortbewegungsmittel","573","1","NA","NA"
"11",1,1,11,50,"NA","NA","NA",24.7333333333333,1,"rochen","Fische","Tiere","561","1","NA","NA"
"12",1,1,12,50,"NA","NA","NA",24.7333333333333,1,"streichholz","Filler","Filler","786","1","NA","NA"
"13",1,1,13,50,"NA","NA","NA",24.7333333333333,1,"auto","Strasse","Fortbewegungsmittel","466","1","NA","NA"
"14",1,1,14,50,"NA","NA","NA",24.7333333333333,1,"kleiderschrank","Aufbewahrung","Möbel","762","1.1","Schrank","NA"
"15",1,1,15,50,"NA","NA","NA",24.7333333333333,1,"aal","Fische","Tiere","588","1","NA","NA"
"16",1,1,16,50,"NA","NA","NA",24.7333333333333,1,"lkw","Strasse","Fortbewegungsmittel","872","1","NA","NA"
"17",1,1,17,50,"NA","NA","NA",24.7333333333333,1,"regal","Aufbewahrung","Möbel","543","1","NA","NA"
"18",1,1,18,50,"NA","NA","NA",24.7333333333333,1,"hai","Fische","Tiere","875","1","NA","NA"
"19",1,1,19,50,"NA","NA","NA",24.7333333333333,1,"motorrad","Strasse","Fortbewegungsmittel","534","1","NA","NA"
"20",1,1,20,50,"NA","NA","NA",24.7333333333333,1,"schublade","Aufbewahrung","Möbel","1079","1","NA","NA"
"21",1,1,21,50,"NA","NA","NA",24.7333333333333,1,"säge","Bauernhof","Werkzeug","799","1","NA","NA"
"22",1,1,22,50,"NA","NA","NA",24.7333333333333,1,"karotte","Gemüse","Lebensmittel","1129","1","NA","NA"
"23",1,1,23,50,"NA","NA","NA",24.7333333333333,1,"daunenweste","Jacken","Kleidung","0","0","NR","4"
"24",1,1,24,50,"NA","NA","NA",24.7333333333333,1,"glocke","Filler","Filler","844","1","NA","NA"
"25",1,1,25,50,"NA","NA","NA",24.7333333333333,1,"brokkoli","Gemüse","Lebensmittel","625","1","NA","NA"
"26",1,1,26,50,"NA","NA","NA",24.7333333333333,1,"pelzmantel","Jacken","Kleidung","909","1","NA","NA"
"27",1,1,27,50,"NA","NA","NA",24.7333333333333,1,"schaufel","Bauernhof","Werkzeug","494","1","NA","NA"
"28",1,1,28,50,"NA","NA","NA",24.7333333333333,1,"gurke","Gemüse","Lebensmittel","426","1","NA","NA"
"29",1,1,29,50,"NA","NA","NA",24.7333333333333,1,"käfig","Filler","Filler","694","1","NA","NA"
"30",1,1,30,50,"NA","NA","NA",24.7333333333333,1,"besen","Bauernhof","Werkzeug","705","1","NA","NA"
"31",1,1,31,50,"NA","NA","NA",24.7333333333333,1,"kartoffel","Gemüse","Lebensmittel","650","1","NA","NA"
"32",1,1,32,50,"NA","NA","NA",24.7333333333333,1,"kapuzenpulli","Jacken","Kleidung","0","0","NR","4"
"33",1,1,33,50,"NA","NA","NA",24.7333333333333,1,"kerze","Filler","Filler","495","1","NA","NA"
"34",1,1,34,50,"NA","NA","NA",24.7333333333333,1,"paprika","Gemüse","Lebensmittel","567","1","NA","NA"
"35",1,1,35,50,"NA","NA","NA",24.7333333333333,1,"sense","Bauernhof","Werkzeug","665","1","NA","NA"
"36",1,1,36,50,"NA","NA","NA",24.7333333333333,1,"sakko","Jacken","Kleidung","853","1.2","Sakkoe","NA"
"37",1,1,37,50,"NA","NA","NA",24.7333333333333,1,"pinsel","Filler","Filler","442","1","NA","NA"
"38",1,1,38,50,"NA","NA","NA",24.7333333333333,1,"axt","Bauernhof","Werkzeug","678","1","NA","NA"
"39",1,1,39,50,"NA","NA","NA",24.7333333333333,1,"arztkittel","Jacken","Kleidung","576","1","NA","NA"
"40",1,1,40,50,"NA","NA","NA",24.7333333333333,1,"pfeife","Filler","Filler","410","1","NA","NA"
"41",1,1,41,50,"NA","NA","NA",24.7333333333333,1,"reh","Huftiere","Tiere","690","1","NA","NA"
"42",1,1,42,50,"NA","NA","NA",24.7333333333333,1,"zigarette","Filler","Filler","516","1","NA","NA"
"43",1,1,43,50,"NA","NA","NA",24.7333333333333,1,"bürste","Filler","Filler","1536","1","NA","NA"
"44",1,1,44,50,"NA","NA","NA",24.7333333333333,1,"kamel","Huftiere","Tiere","698","1","NA","NA"
"45",1,1,45,50,"NA","NA","NA",24.7333333333333,1,"rose","Blumen","Misc II","469","1","NA","NA"
"46",1,1,46,50,"NA","NA","NA",24.7333333333333,1,"gitarre","Instrumente","Misc I","517","1","NA","NA"
"47",1,1,47,50,"NA","NA","NA",24.7333333333333,1,"pferd","Huftiere","Tiere","512","1","NA","NA"
"48",1,1,48,50,"NA","NA","NA",24.7333333333333,1,"sonnenblume","Blumen","Misc II","533","1","NA","NA"
"49",1,1,49,50,"NA","NA","NA",24.7333333333333,1,"geige","Instrumente","Misc I","525","1","NA","NA"
"50",1,1,50,50,"NA","NA","NA",24.7333333333333,1,"schwert","Filler","Filler","2132","1","NA","NA"
"51",1,1,51,50,"NA","NA","NA",24.7333333333333,1,"kuh","Huftiere","Tiere","446","1","NA","NA"
"52",1,1,52,50,"NA","NA","NA",24.7333333333333,1,"ampel","Filler","Filler","448","1","NA","NA"
"53",1,1,53,50,"NA","NA","NA",24.7333333333333,1,"harfe","Instrumente","Misc I","559","1","NA","NA"
"54",1,1,54,50,"NA","NA","NA",24.7333333333333,1,"tulpe","Blumen","Misc II","668","1","NA","NA"
"55",1,1,55,50,"NA","NA","NA",24.7333333333333,1,"puppe","Filler","Filler","549","1","NA","NA"
"56",1,1,56,50,"NA","NA","NA",24.7333333333333,1,"schlagzeug","Instrumente","Misc I","691","0","agzeug [f.r.]","99"
"57",1,1,57,50,"NA","NA","NA",24.7333333333333,1,"löwenzahn","Blumen","Misc II","1314","1","NA","NA"
"58",1,1,58,50,"NA","NA","NA",24.7333333333333,1,"schaf","Huftiere","Tiere","454","1","NA","NA"
"59",1,1,59,50,"NA","NA","NA",24.7333333333333,1,"klavier","Instrumente","Misc I","461","1","NA","NA"
"60",1,1,60,50,"NA","NA","NA",24.7333333333333,1,"orchidee","Blumen","Misc II","583","1","NA","NA"
"61",1,1,61,50,"NA","NA","NA",24.7333333333333,1,"mikrowelle","Küche","Möbel","956","1","NA","NA"
"62",1,1,62,50,"NA","NA","NA",24.7333333333333,1,"segelschiff","Wasser","Fortbewegungsmittel","1384","1.1","Segelboot","NA"
"63",1,1,63,50,"NA","NA","NA",24.7333333333333,1,"mikrofon","Filler","Filler","647","1","NA","NA"
"64",1,1,64,50,"NA","NA","NA",24.7333333333333,1,"bleistift","Büro","Werkzeug","862","1","NA","NA"
"65",1,1,65,50,"NA","NA","NA",24.7333333333333,1,"u-boot","Wasser","Fortbewegungsmittel","1162","1","NA","NA"
"66",1,1,66,50,"NA","NA","NA",24.7333333333333,1,"brille","Filler","Filler","498","1","NA","NA"
"67",1,1,67,50,"NA","NA","NA",24.7333333333333,1,"radiergummi","Büro","Werkzeug","457","1","NA","NA"
"68",1,1,68,50,"NA","NA","NA",24.7333333333333,1,"kanu","Wasser","Fortbewegungsmittel","1523","1.1","Boot","NA"
"69",1,1,69,50,"NA","NA","NA",24.7333333333333,1,"geschirrspüler","Küche","Möbel","0","0","NR","4"
"70",1,1,70,50,"NA","NA","NA",24.7333333333333,1,"schornstein","Filler","Filler","0","0","NR","4"
"71",1,1,71,50,"NA","NA","NA",24.7333333333333,1,"lineal","Büro","Werkzeug","482","1","NA","NA"
"72",1,1,72,50,"NA","NA","NA",24.7333333333333,1,"kühlschrank","Küche","Möbel","609","1","NA","NA"
"73",1,1,73,50,"NA","NA","NA",24.7333333333333,1,"baby","Filler","Filler","567","1","NA","NA"
